iter	Passed	Remaining
0	49	49339
1	52	26298
2	55	18333
3	57	14420
4	60	12019
5	63	10495
6	65	9310
7	67	8429
8	70	7755
9	73	7231
10	75	6804
11	77	6410
12	80	6102
13	82	5844
14	85	5633
15	88	5426
16	90	5247
17	93	5089
18	96	4956
19	98	4802
20	100	4701
21	103	4608
22	106	4506
23	108	4402
24	111	4339
25	114	4272
26	116	4186
27	118	4125
28	121	4080
29	124	4031
30	127	3982
31	129	3931
32	132	3886
33	135	3846
34	138	3808
35	140	3762
36	143	3722
37	145	3686
38	148	3647
39	150	3615
40	153	3587
41	155	3550
42	158	3521
43	161	3502
44	163	3467
45	165	3436
46	168	3423
47	171	3403
48	173	3369
49	176	3346
50	178	3330
51	181	3307
52	183	3279
53	186	3264
54	189	3255
55	191	3235
56	194	3215
57	197	3202
58	200	3191
59	203	3183
60	205	3170
61	208	3149
62	210	3131
63	213	3121
64	216	3116
65	218	3095
66	221	3083
67	224	3076
68	227	3066
69	229	3045
70	231	3035
71	234	3027
72	237	3019
73	240	3012
74	243	2999
75	245	2987
76	248	2977
77	250	2963
78	253	2950
79	255	2937
80	257	2926
81	260	2920
82	262	2904
83	265	2895
84	268	2888
85	271	2886
86	273	2872
87	276	2864
88	279	2858
89	282	2857
90	285	2848
91	287	2834
92	289	2827
93	292	2820
94	294	2807
95	297	2802
96	300	2794
97	303	2790
98	306	2785
99	308	2773
100	310	2765
101	313	2759
102	316	2753
103	318	2741
104	321	2737
105	324	2733
106	326	2725
107	328	2716
108	331	2708
109	334	2704
110	336	2697
111	339	2690
112	341	2681
113	344	2675
114	347	2675
115	349	2663
116	352	2658
117	355	2654
118	358	2651
119	360	2644
120	363	2637
121	365	2633
122	368	2629
123	370	2619
124	373	2614
125	376	2609
126	378	2602
127	380	2593
128	383	2587
129	384	2575
130	387	2571
131	390	2565
132	392	2555
133	395	2555
134	398	2550
135	400	2542
136	401	2532
137	405	2529
138	407	2521
139	408	2510
140	411	2508
141	413	2500
142	416	2493
143	418	2489
144	421	2483
145	423	2474
146	425	2466
147	426	2457
148	429	2452
149	430	2441
150	433	2439
151	435	2429
152	438	2425
153	440	2418
154	442	2411
155	444	2404
156	446	2396
157	448	2389
158	450	2382
159	452	2375
160	454	2369
161	457	2366
162	459	2361
163	461	2354
164	464	2352
165	467	2347
166	469	2339
167	471	2333
168	473	2327
169	475	2323
170	477	2315
171	480	2311
172	481	2303
173	484	2298
174	486	2291
175	487	2284
176	490	2281
177	492	2273
178	494	2268
179	496	2262
180	498	2254
181	500	2250
182	502	2241
183	504	2239
184	507	2235
185	508	2227
186	512	2226
187	514	2220
188	516	2214
189	518	2210
190	520	2204
191	523	2201
192	525	2197
193	527	2189
194	530	2188
195	532	2185
196	534	2178
197	536	2174
198	538	2166
199	541	2164
200	543	2159
201	544	2152
202	546	2147
203	548	2141
204	551	2137
205	552	2130
206	555	2127
207	557	2122
208	559	2115
209	561	2112
210	563	2105
211	565	2102
212	567	2097
213	569	2090
214	571	2087
215	573	2081
216	575	2077
217	577	2070
218	580	2069
219	582	2064
220	584	2058
221	586	2054
222	588	2049
223	590	2045
224	592	2040
225	594	2034
226	596	2032
227	598	2026
228	601	2024
229	603	2019
230	605	2016
231	608	2013
232	609	2007
233	611	2003
234	614	1999
235	616	1994
236	618	1990
237	620	1985
238	622	1981
239	623	1975
240	626	1971
241	627	1966
242	630	1963
243	632	1959
244	634	1953
245	637	1952
246	639	1948
247	641	1943
248	643	1939
249	644	1934
250	647	1932
251	649	1927
252	651	1924
253	654	1921
254	655	1915
255	658	1914
256	660	1910
257	662	1905
258	665	1903
259	666	1898
260	669	1895
