iter	Passed	Remaining
0	68	68511
1	74	37243
2	80	26907
3	86	21637
4	92	18437
5	98	16380
6	105	14975
7	114	14222
8	121	13350
9	127	12650
10	133	12043
11	140	11550
12	146	11122
13	152	10750
14	158	10424
15	164	10136
16	170	9871
17	177	9664
18	183	9471
19	189	9286
20	195	9105
21	201	8952
22	207	8807
23	212	8660
24	218	8529
25	224	8415
26	230	8312
27	236	8197
28	242	8111
29	247	8018
30	253	7936
31	259	7861
32	265	7789
33	271	7721
34	277	7660
35	283	7594
36	289	7528
37	295	7483
38	301	7428
39	307	7379
40	313	7325
41	318	7271
42	324	7229
43	331	7191
44	336	7150
45	342	7107
46	348	7061
47	354	7023
48	359	6983
49	365	6944
50	371	6912
51	377	6874
52	382	6840
53	388	6803
54	394	6771
55	400	6748
56	406	6729
57	412	6700
58	418	6671
59	424	6644
60	429	6618
61	435	6591
62	441	6572
63	447	6550
64	453	6525
65	459	6507
66	465	6481
67	471	6455
68	476	6430
69	482	6408
70	488	6387
71	494	6368
72	500	6352
73	506	6333
74	511	6313
75	517	6291
76	523	6270
77	528	6249
78	534	6232
79	540	6211
80	546	6194
81	551	6179
82	557	6161
83	563	6146
84	569	6133
85	575	6119
86	581	6104
87	587	6093
88	593	6076
89	600	6066
90	606	6056
91	612	6042
92	618	6033
93	624	6022
94	630	6008
95	636	5995
96	642	5976
97	647	5962
98	653	5946
99	659	5935
100	665	5922
101	671	5909
102	676	5894
103	682	5881
104	686	5851
105	692	5836
106	698	5825
107	703	5812
108	709	5797
109	715	5788
110	721	5775
111	727	5766
112	733	5753
113	738	5741
114	744	5729
115	749	5713
116	755	5702
117	761	5689
118	766	5676
119	772	5663
120	778	5654
121	784	5643
122	789	5632
123	795	5620
124	799	5596
125	805	5587
126	811	5575
127	816	5563
128	822	5555
129	828	5544
130	834	5534
131	840	5523
132	845	5512
133	851	5500
134	856	5490
135	862	5482
136	868	5471
137	874	5462
138	880	5455
139	886	5447
140	892	5438
141	898	5429
142	904	5420
143	910	5411
144	916	5403
145	922	5393
146	927	5383
147	933	5374
148	939	5364
149	942	5343
150	948	5334
151	954	5323
152	958	5305
153	964	5298
154	970	5288
155	974	5270
156	980	5262
157	984	5244
158	990	5236
159	995	5226
160	1001	5217
161	1007	5210
162	1013	5204
163	1019	5197
164	1023	5181
165	1029	5173
166	1034	5158
167	1038	5143
168	1045	5138
169	1051	5132
170	1057	5127
171	1064	5122
172	1070	5117
173	1074	5100
174	1080	5093
175	1086	5087
176	1092	5080
177	1098	5073
178	1103	5061
179	1107	5047
180	1114	5044
181	1120	5037
182	1126	5030
183	1132	5023
184	1138	5015
185	1144	5009
186	1150	5003
187	1157	5000
188	1164	4997
189	1170	4991
190	1177	4985
191	1183	4978
192	1187	4964
193	1193	4957
194	1200	4954
195	1204	4940
196	1211	4937
197	1215	4924
198	1221	4917
199	1226	4907
200	1231	4894
201	1236	4886
202	1243	4880
203	1247	4869
204	1254	4864
205	1260	4859
206	1267	4854
207	1271	4842
208	1278	4840
209	1285	4835
210	1291	4830
211	1296	4817
212	1300	4806
213	1306	4798
214	1311	4788
215	1318	4785
216	1323	4773
217	1329	4768
218	1333	4756
219	1339	4749
220	1343	4736
221	1349	4728
222	1355	4723
223	1361	4716
224	1367	4709
225	1371	4696
226	1377	4690
227	1381	4676
228	1387	4670
229	1390	4656
230	1397	4651
231	1402	4644
232	1406	4630
233	1411	4619
234	1416	4610
235	1422	4605
236	1428	4599
237	1432	4585
238	1436	4573
239	1440	4562
240	1444	4549
241	1449	4539
242	1453	4527
243	1457	4516
244	1463	4510
245	1469	4503
246	1475	4497
247	1480	4490
248	1486	4483
249	1490	4471
250	1494	4459
251	1498	4447
252	1502	4436
253	1506	4425
